Species,Location,Latitude,Longitude,Observation Date
Great Blue Heron,"Seattle, WA, USA",47.7162420812,-122.3792805477,2024-07-05
Cardellina pusilla,"Broadview, Seattle, WA, USA",47.7097967997,-122.3666043997,2024-07-01
Great Blue Heron,"Broadview, Seattle, WA, USA",47.7107791,-122.3715705,2024-07-01
Great Blue Heron,"Broadview, Seattle, WA, USA",47.7128605559,-122.3785714433,2024-06-30
Dark-eyed Junco,"Carkeek Park, Seattle, WA, US",47.7135283333,-122.3777783333,2024-06-30
Northern Flicker,"North Beach/Blue Ridge, Seattle, WA, USA",47.7081103947,-122.3772579568,2024-06-30
Spotted Towhee,"North Beach/Blue Ridge, Seattle, WA, USA",47.7073432792,-122.376017843,2024-06-30
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7081069444,-122.3771976901,2024-06-30
Chestnut-backed Chickadee,"Broadview, Seattle, WA, USA",47.7122349267,-122.3789120006,2024-06-25
Killdeer,"Seattle, WA, USA",47.706821017,-122.383241771,2024-06-25
Great Blue Heron,"Seattle, WA, USA",47.707732388,-122.3832049699,2024-06-25
Brant,"Seattle, WA, USA",47.7117523201,-122.3807041527,2024-06-25
Song Sparrow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7036915471,-122.3775085558,2024-06-23
Anna's Hummingbird,"North Beach/Blue Ridge, Seattle, WA, USA",47.7070229752,-122.3783814991,2024-06-23
Steller's Jay,"North Beach/Blue Ridge, Seattle, WA, USA",47.7071432929,-122.3736636856,2024-06-23
Pileated Woodpecker,"King County, US-WA, US",47.7098199738,-122.374462299,2024-06-21
American Crow,"NW Carkeek Park Rd, Seattle, WA, US",47.7126116667,-122.3794633333,2024-06-18
Selasphorus rufus,"Carkeek Park, Seattle, WA, US",47.7119366667,-122.3792033333,2024-06-16
Song Sparrow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7076483944,-122.3752246439,2024-06-16
Northern Flicker,"Broadview, Seattle, WA, USA",47.7116522071,-122.3685535307,2024-05-19
Anna's Hummingbird,"Broadview, Seattle, WA, USA",47.7098075285,-122.3667318828,2024-05-19
Song Sparrow,"Broadview, Seattle, WA, USA",47.709525,-122.374376,2024-06-15
American Crow,"Broadview, Seattle, WA, US",47.7179966667,-122.3764333333,2024-06-08
Hydroprogne caspia,"Carkeek Park, Seattle, WA, US",47.7101739544,-122.3688795537,2024-05-29
American Crow,"Carkeek Park, Seattle, WA, US",47.7113033333,-122.37313,2024-06-01
Brown Creeper,"Carkeek Park, Seattle, WA, US",47.7102425187,-122.3758214601,2024-05-21
Spotted Towhee,"Carkeek Park, Seattle, WA, US",47.7114966667,-122.3787,2024-06-01
Glaucous-winged Gull,"Seattle, WA, USA",47.7133286558,-122.3797674365,2024-06-05
Great Blue Heron,"Seattle, WA, USA",47.7163821082,-122.3775079781,2024-06-05
American Crow,"Seattle, WA, USA",47.7147195171,-122.3783194498,2024-06-05
Song Sparrow,Carkeek Park,47.7102423066,-122.370862529,2024-05-25
Corvus,Carkeek Park,47.7094138899,-122.3727085709,2024-06-03
Bald Eagle,Carkeek Park,47.7101287231,-122.3747725768,2024-05-11
Brant,Carkeek Park,47.7127655279,-122.3780695409,2024-05-20
Iceland Gull,Carkeek Park,47.7104861455,-122.3709961313,2024-05-17
