Species,Location,Latitude,Longitude,Observation Date
Mergus merganser,"Issaquah, WA, USA",47.5582073818,-122.0659949689,2024-05-11
Spinus pinus,"Issaquah, WA, USA",47.5576619768,-122.0650365362,2024-04-28
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5610937819,-122.0633199225,2024-04-28
Petrochelidon pyrrhonota,"Issaquah, WA, USA",47.5591389838,-122.0649936209,2024-04-29
Setophaga coronata,"Issaquah, WA, USA",47.5588493779,-122.0652081976,2024-04-28
Ardea herodias,"Issaquah, WA, USA",47.5590810627,-122.0649721632,2024-04-28
Mareca strepera,"Issaquah, WA, USA",47.5593127466,-122.0649936209,2024-04-29
Branta canadensis,"Issaquah, WA, USA",47.5591100233,-122.0642855177,2024-04-28
Tachycineta thalassina,"Issaquah, WA, USA",47.5617895013,-122.0652759314,2024-04-28
Molothrus ater,"Issaquah, WA, USA",47.5587914565,-122.0641782293,2024-04-28
Mareca strepera,"Issaquah, WA, USA",47.5586321724,-122.0642211447,2024-04-28
Charadrius vociferus,"Issaquah, WA, USA",47.5581977587,-122.0644786368,2024-04-21
Corvus corax,"Issaquah, WA, USA",47.5596747505,-122.0628693113,2024-04-21
Anthus rubescens,"Issaquah, WA, USA",47.5581687976,-122.0646502981,2024-04-21
Anas platyrhynchos domesticus,"Issaquah, WA, USA",47.5585018486,-122.0660450468,2024-04-21
Anas platyrhynchos,"Lake Sammamish, Issaquah, WA, US",47.5619340142,-122.0654463312,2024-04-27
Mareca strepera,"Lake Sammamish State Park, Issaquah, WA, US",47.5619082371,-122.0654580058,2024-04-27
Branta canadensis,"Lake Sammamish State Park, Issaquah, WA, US",47.5584214103,-122.0652835816,2024-04-27
Anas platyrhynchos,"Issaquah Creek, Issaquah, WA, US",47.5608616667,-122.0640195,2024-04-20
Aix sponsa,"Lake Sammamish State Park, Issaquah, WA, US",47.56162,-122.0637278333,2024-04-20
Branta canadensis,"Issaquah, WA, USA",47.5582846417,-122.0644357214,2024-04-06
Mergus merganser,"Issaquah, WA, USA",47.558597442,-122.0675899992,2024-04-06
Sturnus vulgaris,"Issaquah, WA, USA",47.558872569,-122.065637351,2024-04-06
Haliaeetus leucocephalus,"Lake Sammamish State Park, Issaquah, WA, US",47.560286724,-122.0649119248,2024-04-09
Junco hyemalis,"Pickering Multiple Use Trail, Issaquah, WA, US",47.5522346688,-122.0486444088,2024-04-05
Charadrius vociferus,"King County, WA, USA",47.5582579343,-122.0624317092,2024-03-26
Zonotrichia atricapilla,"King County, WA, USA",47.5578860424,-122.0609664917,2024-03-18
Corthylio calendula,"King County, WA, USA",47.5549775862,-122.0605636573,2024-03-18
Setophaga coronata,"King County, WA, USA",47.5582757456,-122.0595296106,2024-03-18
Branta canadensis,"King County, WA, USA",47.5607694579,-122.063942195,2024-03-10
Podilymbus podiceps,"King County, WA, USA",47.5615729696,-122.0665572249,2024-03-10
Lophodytes cucullatus,"King County, WA, USA",47.5594396824,-122.0632922238,2024-03-10
Bucephala albeola,"King County, WA, USA",47.560472621,-122.065572978,2024-03-10
Mergus merganser,"King County, WA, USA",47.5614165488,-122.0649151932,2024-03-10
Megaceryle alcyon,"King County, WA, USA",47.5622346819,-122.065589154,2024-03-10
Branta canadensis,Issaquah,47.5584716797,-122.0628967285,2024-02-18
Lophodytes cucullatus,"Issaquah, WA 98027, USA",47.5590674468,-122.0622903854,2024-02-17
Spinus pinus,"King County, US-WA, US",47.5588350831,-122.0621653274,2024-02-17
Mergus merganser,"King County, US-WA, US",47.5589586183,-122.0624640584,2024-02-17
Aves,"Issaquah, WA 98027, USA",47.5619901184,-122.0642212406,2024-02-17
Fulica americana,"King County, US-WA, US",47.5617269987,-122.0638138801,2024-02-17
Aythya collaris,"King County, WA, USA",47.5595355296,-122.0578719662,2024-02-04
Corvus brachyrhynchos,"King County, WA, USA",47.563242316,-122.0530654477,2024-02-03
Turdus migratorius,"King County, WA, USA",47.5669488402,-122.0599319027,2024-02-03
Fulica americana,"Issaquah, WA 98027, USA",47.56480531,-122.05506962,2024-02-09
Mergus merganser,"King County, WA, USA",47.5592182409,-122.0602798462,2024-02-04
Turdus migratorius,"King County, WA, USA",47.5592182409,-122.0602798462,2024-02-04
Haliaeetus leucocephalus,"King County, WA, USA",47.5592182409,-122.0602798462,2024-02-04
Anas platyrhynchos,"King County, WA, USA",47.5592182409,-122.0602798462,2024-02-04
Larus brachyrhynchus,"King County, WA, USA",47.5592182409,-122.0602798462,2024-02-04
Nannopterum auritum,"King County, WA, USA",47.5592182409,-122.0602798462,2024-02-04
